userName,content,score,thumbsUpCount,at
Maisyara Salsabila,mempermudah belanja,5,0,2026-07-01 20:26:07
Koeswoyo N.,"kurir nya kurang di ketat in. juga kurang di tegas i. sehingga seenaknya saja mengklaim kalo paket ditolak. sedangkan saya sudah nunggu. setelah saya cek ( Tiba-tiba Paket Dikembalikan ke penjual alasan penerima menolak paket ) JIKA ADA YG SAMA HARAP SALIN INI , KITA DEMO MELALUI ULASAN",1,0,2026-07-01 20:25:29
Nurfazila Zila,tolong gmn nih min shoope saya g bisa chek out!,1,0,2026-07-01 20:25:02
Anindya Iva,"kalo iklan sering masuk ke shopee. maksa bgt ajg kurangin dong iklannya, masa iklan apk lain tiba-tiba masuk apk shopee",2,0,2026-07-01 20:24:48
Esteh Panas,"Gua kasih bintang 1 karena iklannya ganggu banget sialan,gua yang awalnya lagi nugas di aplikasi lain keganggu banget ama iklan ni aplikasi apalagi tanda closenya dibuat gimmick biar masuk ke aplikasinya langsung. Semoga cepetan tobat dan dapet hidayah dah lu pihak shoppee,iklan ginian walau sepele bisa ganggu banget buat orang lain.",1,0,2026-07-01 20:24:14
Deynis Ilham Arabi,"BERHENTI MAKSA ORANG BUAT DOWNLOAD LEWAT IKLAN ANJ !!! GUA MAU MAIN GAME, IKLAN LU ITU GANGGU UDH PENCET TOMBOL X MASIH AJA DI PAKSA KE PLAY STORE.",1,0,2026-07-01 20:24:12
Anih lestari,"datang nya lambat,terus kalo harga paket nya 0rp tapi kata si kurir harus bayar aja 1000",1,0,2026-07-01 20:24:12
Wilson Paris,sumpah pengiriman nya lambat banget ngga kaya waktu itu sekarang 7 hari baru sampe lambat banget kalo dulu 1 atau 2 sampe. tpi klo sekarang lama banget,1,0,2026-07-01 20:22:13
Agus,"iklan lu maksa amat, udh la tombol x buat keluarnya kecil bgt sekecil upil hadeh",1,0,2026-07-01 20:21:55
Dias kartini Harahap,"jasa pengirinan shopee expres lambat ,pesanan saya dri jam 7 pagi status pengiriman k alamat sampai malam dtunggu malam di tunda , tanpa ada konfrimasi atau apa pun. apa lagi itu yg saya pesen barang eleteronik, di oper"" dbalikn k gudang , gimana gak rusak . siapa yang mau tanggung jawb? ujung"" kalau gk bsa dpergunakan retur k toko dan yg rugi toko dan coustmer .. buruk sekali untuk jasa kirim shopee express, mending pake jasa kirim yg lain. saya udh 2 kali di kecewakan",1,0,2026-07-01 20:20:25
Santanacelebes Santana,"aplikasi nya bagus banget. Jadi ga perlu repot-repot pergi ke tokonya, bisa langsung pesan di Shopee. Barang-barangnya juga bagus banget. Tapi untuk akun baru bisa di diskon kan gak harganya? Supaya pengguna bisa lebih banyak beraktivitas. Masalahnya di akun lama mahal, jadi kalo di akun baru agak di diskonin lagi. Itu aja selebihnya bagus kok. terimakasih",5,0,2026-07-01 20:18:19
Arga Subiyaksono,familiar di Indonesia,5,0,2026-07-01 20:16:25
Vanoluma Budo,"ijogggjjjhh. h,b,<#×+±+±÷=:[:...*<4_<=@]",4,0,2026-07-01 20:16:00
Abdi Maulana,Sudah membaik dari pada duku,5,0,2026-07-01 20:15:43
Supriyani Ani,"mantep shopee, dapet vocer gak masuk akal, GUA DAPET 50 RBBBB GAK NGOTAK",5,0,2026-07-01 20:13:55
MOHAMAD JEPRI,notifikasi suara shoppe itu terlalu mengagetkan..,2,0,2026-07-01 20:13:54
Abdul Rozaq,sementara masih yang terbestlah,5,0,2026-07-01 20:13:41
Trixy Pink,puas dengan pelayanan nya,5,0,2026-07-01 20:11:32
nabila zay,"najis banget anj iklan nya ada di mana²,judol lah,bokep lah,pecandu jir owner nya najis, app sakit",1,0,2026-07-01 20:11:08
Suli Sulimah,saat iklan kenapa harus Shopee yang muncul? nyebelin tau ga! mana kadang ga bisa di skip lagi Terus maksa banget buat nilai pembelian... dan sangat mengganggu jika harga pembelian barang-barang nya terus dinaikan! dan yang membuat saya tidak respect adalah koin shopee tersebut sangat sulit di dapat mengapa koin cepat berkurang? padahal saya tidak menggunakan nya!! Tolong dibaca jangan malahan sok sibuk!!! 🥲,1,2,2026-07-01 20:10:14
Baiq Murniati,baik,5,0,2026-07-01 20:09:43
Erni Yulianti2512,"sangat kecewa dengan shoppe saat ini, sudah 1 bulan semua paket saya tetap di tempat jdi sekarang harus mikir berkali² klo mau pesan di shoope karena proses pengiriman sangat lama. tolong di update utk pengiriman jgn terlalu lama, jdinya org mls belanja padahal apk nya sudah bagus dan banyak yg amanah juga penjualan nya tpi karena proses pengiriman sangat lama jdi mls. edit tambahan, paket udh pengiriman lama trus banyak paket tiba² batal karena hilang saat estimasi.",1,2,2026-07-01 20:06:44
Siti Aisah,bagus,5,0,2026-07-01 20:05:51
Maria M. Nainggolan,"Aplikasi yang sangat membantu, memiliki banyak promo, dan memudahkan mencari barang yang sulit didapat. Mungkin bisa di adakan Qris di Shopee food dan bentuk pelayanan online lainnya. Terimakasih",5,0,2026-07-01 20:04:38
Nmax Visor,"Belanja modal 300.000,jual melalui shopee 350.000. potong biaya ini itu..Reseller nerima 274.000. Gila gak ini market place.. mau ngmong apa luh shopee?",1,0,2026-07-01 20:04:19
Ramman Mama,mantap,5,0,2026-07-01 20:03:47
Wahidin Okm,m. ... mm oo mm,3,0,2026-07-01 20:02:16
Tri Lestari,harga bersahabat,5,0,2026-07-01 20:01:54
Isma Damayanti,"iklannya ganggu banget asli, gak ngapa ngapain aja malah tiba tiba masuk apk mana keluar laginya suka susah. gak ngerti lagi malah jadi gak nyaman. kalo mau belanja mah nanti juga dibuka , dipake , jadi jangan maksa!",1,0,2026-07-01 19:56:06
Abdul Aziz,mantap jos,5,0,2026-07-01 19:56:00
Ali masykur Masykur,bagus untuk membeli murah ² ya,5,0,2026-07-01 19:55:44
Nayla Dwi,baik sekali pengiriman cepat,5,0,2026-07-01 19:54:52
Muhammad Nizam,sangat puas,5,0,2026-07-01 19:54:18
Wa Asni,intinya aplikasi ini bagus,5,0,2026-07-01 19:54:06
Cthyii,iklannya nyebelin udh gitu maksa lagi,1,0,2026-07-01 19:54:02
Anis “Fauzan” salamah,si oyen emang mantap,5,0,2026-07-01 19:53:57
KRISNA MUSIK,sangat baik,5,0,2026-07-01 19:52:19
AGUSKUSWANDI,Knapa ya aplikasi shopee ini lemood bangeet apa engga ada perbaikan,5,0,2026-07-01 19:49:39
Muhammad Ghufron,Mantap,5,0,2026-07-01 19:49:04
Simple Plant,ok,5,0,2026-07-01 19:46:34
Widiansah Widiansah,aplikasi yang sangat bagus,5,0,2026-07-01 19:46:29
ARSYAD ARS,"jualan di shopee tidak untung malah rugi, kenapa saya ngomong begini. karena potongan terlalu besar. kita jual barang 1 item harga sebesar 460rb itu nanti dipotong biaya layanan dan lain2 susah yg saya terima 370rb. coba brapa uang kita yg di potong!!!! kalau kita jual up/mahal tidak laku. enak jualan di toko hijau dan tiktok. shopee banyak potongannya",1,3,2026-07-01 19:46:21
Viola R Adzkia,sell Singapore,1,0,2026-07-01 19:45:46
Kurnia Sammy,"kurir seperti ninja,sunyi senyap.tiba2 pesanan sampai.......",5,0,2026-07-01 19:41:51
Anton rima Sanggara,shope isdebesss,5,0,2026-07-01 19:41:50
